razotajs,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Jeep,Jeep Renegade,2017,Benzīns,1.4,32,19990,SIA Autobrava Motors piedāvā Jeep Renegade Limited 4x4. 1.4l benzīna dzi,https://i.ss.lv/gallery/4/777/194031/38806082.th2.jpg,/msg/lv/transport/cars/jeep/renegade/bmgjlj.html
Bmw,Bmw 520,2003,Dīzelis,2.0,190,2400,"Продам Бмв в отличном состоянии, 100 kwh. В Латвии единственный владелец",https://i.ss.lv/gallery/4/757/189245/37848844.th2.jpg,/msg/lv/transport/cars/bmw/520/bndmd.html
Audi,Audi Quattro,1991,Dīzelis,2.5,500,2350,"Pārdodu Audi 100 c4 2.5tdi R5 Quattro, čipots, iet labi, pārdodu, jo nav",https://i.ss.lv/gallery/4/777/194034/38806724.th2.jpg,/msg/lv/transport/cars/audi/quattro/exbbb.html
Bmw,Bmw 320,2008,Dīzelis,2.0,270,6000,"Продаю свою красатулечку ;) Не курила, не пила, руки после Макдака о сид",https://i.ss.lv/gallery/4/777/194031/38806073.th2.jpg,/msg/lv/transport/cars/bmw/320/ffnpg.html
Volvo,Volvo S80,2001,Dīzelis,2.4,309,2000,"Volvo S80, 2.4 D5 (120kW-163zs), Mehanika, Izlaiduma datums 21. 11. 2001",https://i.ss.lv/gallery/4/777/194034/38806712.th2.jpg,/msg/lv/transport/cars/volvo/s80/fpgmg.html
Toyota,Toyota RAV 4,2018,Hibrīds,2.5,28,23990,"Garantija, Luxury Plus, Keylessgo, Led, Lcd, Automātiskā ātrumkārba, Kli",https://i.ss.lv/gallery/4/764/190881/38176084.th2.jpg,/msg/lv/transport/cars/toyota/rav-4/bixmje.html
Gaz,Gaz 21,1966,Benzīns,2.4,44,2495,Документы новые латвийские . Переоформить можно . Заводиться (работает и,https://i.ss.lv/gallery/4/776/193946/38789170.th2.jpg,/msg/lv/transport/cars/gaz/21/gdnio.html
Volvo,Volvo S60,2008,Dīzelis,2.4,277,4270,"No Vācijas Volvo S60, 2.4Tdi 136Kw/182Zs.   Teicams tehniskais un vizuāl",https://i.ss.lv/gallery/4/705/176195/35238982.th2.jpg,/msg/lv/transport/cars/volvo/s60/blccig.html
Bmw,Bmw 535,2011,Dīzelis,3.0,191,14550,"Bmw/535D/touring/220Kw /2011Gads/f11 Tikko veikta apkope (eļļas, filtri)",https://i.ss.lv/gallery/4/777/194034/38806631.th2.jpg,/msg/lv/transport/cars/bmw/535/beeedp.html
Bmw,Bmw X5,2011,Dīzelis,4.0,196,17000,"Bmw-X5 40d xdrive, 225kw/306zs, M paka, tālo gaismu asistents, apkārtska",https://i.ss.lv/gallery/4/777/194033/38806435.th2.jpg,/msg/lv/transport/cars/bmw/x5/bfcmx.html
Bmw,Bmw 330,2002,Dīzelis,3.0,345,2600,"Pārdod auto, sakarā ar jauna auto iegādi. BMW E46 330d  BMW tikko izieta",https://i.ss.lv/gallery/4/777/194033/38806538.th2.jpg,/msg/lv/transport/cars/bmw/330/gjkxh.html
Honda,Honda Jazz,2004,Benzīns,1.3,278,1760,Новый Техосмотр до марта 2022. Пройден без проблем. Возможен обмен.   Дв,https://i.ss.lv/gallery/4/774/193258/38651587.th2.jpg,/msg/lv/transport/cars/honda/jazz/obhgn.html
Peugeot,Peugeot Partner,2013,Dīzelis,1.6,144,4770,"Peugeot Partner, 1.6 Tdi 55Kw/75Zs.   Tikko veikta tehniskā paskate.   Ļ",https://i.ss.lv/gallery/4/777/194034/38806611.th2.jpg,/msg/lv/transport/cars/peugeot/partner/bbhnep.html
Ford,Ford Mondeo,2010,Dīzelis,2.0,161,3800,"Ford Mondeo 2, 0 dīzelis, manuāla sešpakapju ātrumkārba, mazs degvielas ",https://i.ss.lv/gallery/4/733/183155/36630803.th2.jpg,/msg/lv/transport/cars/ford/mondeo/cljce.html
Bmw,Bmw 530,2002,Dīzelis,3.0,400,2650,Срочно. Продаю ухоженную бмв . 3.0 дизель автомат . Хорошая комплектация,https://i.ss.lv/gallery/4/764/190765/38152850.th2.jpg,/msg/lv/transport/cars/bmw/530/ebjxk.html
Renault,Renault Master,2009,Dīzelis,2.5,335,4500,"Renault Master, 7 vietīga kravas kaste, 2, 5 dīzelis- 100zs, pirmā reģ. ",https://i.ss.lv/gallery/4/742/185252/37050222.th2.jpg,/msg/lv/transport/cars/renault/master/befbkj.html
Bmw,Bmw X6,2015,Dīzelis,4.0,95,43000,Продается BMW X6 2015 года выпуска. Заказывалась и индивидуально комплек,https://i.ss.lv/gallery/4/777/194033/38806498.th2.jpg,/msg/lv/transport/cars/bmw/x6/becxng.html
Peugeot,Peugeot 3008,2011,Dīzelis,1.6,238,5500,"Pārdod Peugeot 3008, pirmā reģ. 14.06.2011.gada, 1.6 dīzelis (82kw/111zs",https://i.ss.lv/gallery/4/772/192966/38593102.th2.jpg,/msg/lv/transport/cars/peugeot/3008/bpbflh.html
Bmw,Bmw i3,2017,Benzīns,E,38,21500,"BMW 94Ah, 2017.gada izlaidums, Biznesa pakete. Iespējams līzings ar proc",https://i.ss.lv/gallery/4/758/189480/37895816.th2.jpg,/msg/lv/transport/cars/bmw/i3/cxikmg.html
Jeep,Jeep Cherokee,2002,Dīzelis,2.5,276,4000,"Pārdod, tiko izieta TA (25.03.22)  Visi nodokļi nomaksāti. Virsū stāv la",https://i.ss.lv/gallery/4/777/194033/38806403.th2.jpg,/msg/lv/transport/cars/jeep/cherokee/bonlm.html
Audi,Audi Q7,2016,Dīzelis,3.0,151,39900,Audi Q7 3.0d (S-Line) Покупался новым в Moller Auto.   Один хозяин.   По,https://i.ss.lv/gallery/4/751/187620/37523849.th2.jpg,/msg/lv/transport/cars/audi/q7/bxxplc.html
Renault,Renault Clio,2003,Benzīns,1.2,155,900,Продам авто в нормальном состоянии. С честным пробегом. Заводиться в люб,https://i.ss.lv/gallery/4/777/194032/38806267.th2.jpg,/msg/lv/transport/cars/renault/clio/jpojp.html
Volvo,Volvo V70,2008,Dīzelis,2.4,346,4300,"Volvo V70, 2, 4 dīzelis- 163zs, automātiska ātrumkārba, ievests no Vācij",https://i.ss.lv/gallery/4/747/186708/37341459.th2.jpg,/msg/lv/transport/cars/volvo/v70/bexlh.html
Mitsubishi,Mitsubishi Lancer,2009,Benzīns,1.5,170,3450,"1- saimnieks, jauna pirkta Latvijā pie oficiālā dīlera. Jauna TA 23.02.2",https://i.ss.lv/gallery/4/760/189920/37983923.th2.jpg,/msg/lv/transport/cars/mitsubishi/lancer/dnkfn.html
Audi,Audi A6,2011,Dīzelis,3.0,236,8950,A-6 S-Line Face-Lift 3.0tdi 176kw Quattro. Labākais piedāvājums Spridzek,https://i.ss.lv/gallery/4/777/194030/38805868.th2.jpg,/msg/lv/transport/cars/audi/a6/dcmck.html
Bmw,Bmw X5,2009,Dīzelis,3.0,214,6800,"No Itālijas. Rūc, brauc. Defekti redzami bildēs. Abas atslēgas, nesapuvi",https://i.ss.lv/gallery/4/777/194032/38806329.th2.jpg,/msg/lv/transport/cars/bmw/x5/bolge.html
